Restaurant B,Shared_Voter_Count,Votes,Rank,Category A,Restaurant A,Category B
City Dogs,23,294,1.0,Burgers,Boulevard Burger and Brew,Hot Dogs
Joeys Hot Dogs,7,62,7.0,Burgers,Boulevard Burger and Brew,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,5,77,4.0,Burgers,Boulevard Burger and Brew,Hot Dogs
Ellies Hot Dogs and Ice Cream,4,69,6.0,Burgers,Boulevard Burger and Brew,Hot Dogs
Fat Dragon,41,209,1.0,Burgers,Boulevard Burger and Brew,Fried Rice
Lucky AF,9,49,6.0,Burgers,Boulevard Burger and Brew,Fried Rice
Mekong,7,89,3.0,Burgers,Boulevard Burger and Brew,Fried Rice
Peter Chang Richmond,6,128,2.0,Burgers,Boulevard Burger and Brew,Fried Rice
Ginger Thai Taste,3,20,13.0,Burgers,Boulevard Burger and Brew,Fried Rice
Moore Street Cafe,12,171,1.0,Burgers,Boulevard Burger and Brew,Breakfast
SBs Main Street Love Shack,8,107,4.0,Burgers,Boulevard Burger and Brew,Breakfast
Joes Inn the Fan,8,128,3.0,Burgers,Boulevard Burger and Brew,Breakfast
Millies Diner,6,77,5.0,Burgers,Boulevard Burger and Brew,Breakfast
City Diner,6,48,9.0,Burgers,Boulevard Burger and Brew,Breakfast
Wongs Tacos,23,51,7.0,Burgers,Boulevard Burger and Brew,Lunch
Union Market,7,135,2.0,Burgers,Boulevard Burger and Brew,Lunch
New York Deli,7,51,7.0,Burgers,Boulevard Burger and Brew,Lunch
Coppolas Deli,7,83,5.0,Burgers,Boulevard Burger and Brew,Lunch
Kuba Kuba,6,135,2.0,Burgers,Boulevard Burger and Brew,Lunch
Red Salt Chophouse and Sushi,28,44,7.0,Burgers,Boulevard Burger and Brew,Date Night
LOpossum,9,130,2.0,Burgers,Boulevard Burger and Brew,Date Night
Stellas,8,124,3.0,Burgers,Boulevard Burger and Brew,Date Night
Bookbinders,5,31,14.0,Burgers,Boulevard Burger and Brew,Date Night
Pinkys,4,42,8.0,Burgers,Boulevard Burger and Brew,Date Night
LUNCH.SUPPER!,13,131,2.0,Burgers,Boulevard Burger and Brew,Brunch
Moore Street Cafe,7,83,4.0,Burgers,Boulevard Burger and Brew,Brunch
SBs Main Street Love Shack,7,107,3.0,Burgers,Boulevard Burger and Brew,Brunch
Lulus,6,58,9.0,Burgers,Boulevard Burger and Brew,Brunch
Millies Diner,6,83,4.0,Burgers,Boulevard Burger and Brew,Brunch
Smashed RVA,11,190,1.0,Burgers,Boulevard Burger and Brew,Food Truck
River City Wood Fire,7,133,3.0,Burgers,Boulevard Burger and Brew,Food Truck
Carytown Burgers,6,39,13.0,Burgers,Boulevard Burger and Brew,Food Truck
Intergalactic Tacos,6,95,4.0,Burgers,Boulevard Burger and Brew,Food Truck
Boka Tako Truck,4,51,8.0,Burgers,Boulevard Burger and Brew,Food Truck
Lamplighter Coffee Roasters,9,109,2.0,Burgers,Boulevard Burger and Brew,Cafe
Roastology,7,50,8.0,Burgers,Boulevard Burger and Brew,Cafe
Urban Farmhouse,6,25,18.0,Burgers,Boulevard Burger and Brew,Cafe
Ironclad Coffee Roasters,6,48,10.0,Burgers,Boulevard Burger and Brew,Cafe
Blanchards,6,146,1.0,Burgers,Boulevard Burger and Brew,Cafe
ZZQ,34,598,1.0,Burgers,Cobra Cabana,BBQ
The Smoky Mug,14,99,3.0,Burgers,Cobra Cabana,BBQ
Alamo / Frontier by Alamo,8,88,4.0,Burgers,Cobra Cabana,BBQ
Get Tight Lounge,7,46,8.0,Burgers,Cobra Cabana,BBQ
Mission BBQ,4,69,6.0,Burgers,Cobra Cabana,BBQ
Hot For Pizza,32,95,5.0,Burgers,Cobra Cabana,Pizza
Zorch,17,229,1.0,Burgers,Cobra Cabana,Pizza
Pizza Bones,7,124,2.0,Burgers,Cobra Cabana,Pizza
8 ½ in The Fan,6,118,4.0,Burgers,Cobra Cabana,Pizza
The Hop Craft Pizza and Beer,6,40,11.0,Burgers,Cobra Cabana,Pizza
Dont Look Back,19,129,3.0,Burgers,Cobra Cabana,Tacos
El Chido,14,98,5.0,Burgers,Cobra Cabana,Tacos
TBT El Gallo,13,166,2.0,Burgers,Cobra Cabana,Tacos
Blue Habanero,7,41,9.0,Burgers,Cobra Cabana,Tacos
La Milpa,6,62,8.0,Burgers,Cobra Cabana,Tacos
Garnetts,20,173,1.0,Burgers,Cobra Cabana,Sandwich
Chioccas,15,126,4.0,Burgers,Cobra Cabana,Sandwich
Stanleys,10,158,2.0,Burgers,Cobra Cabana,Sandwich
Perlys,9,115,6.0,Burgers,Cobra Cabana,Sandwich
Union Market,9,108,7.0,Burgers,Cobra Cabana,Sandwich
Lucky AF,29,268,1.0,Burgers,Cobra Cabana,Sushi
Fighting Fish,14,126,3.0,Burgers,Cobra Cabana,Sushi
Akida,12,196,2.0,Burgers,Cobra Cabana,Sushi
Miyabi Sushi,9,68,6.0,Burgers,Cobra Cabana,Sushi
LEVEL,7,66,7.0,Burgers,Cobra Cabana,Sushi
821 Cafe,15,147,2.0,Burgers,Cobra Cabana,Veg
Goatocado,15,182,1.0,Burgers,Cobra Cabana,Veg
Harrison Street Cafe,8,64,5.0,Burgers,Cobra Cabana,Veg
NuVegan Cafe,7,47,8.0,Burgers,Cobra Cabana,Veg
Philly Vegan,7,47,8.0,Burgers,Cobra Cabana,Veg
Sabai,16,140,2.0,Burgers,Cobra Cabana,Curry
Moms Siam,13,114,5.0,Burgers,Cobra Cabana,Curry
Lemon Cuisine of India,12,183,1.0,Burgers,Cobra Cabana,Curry
Tulsi Indian Cuisine,9,121,4.0,Burgers,Cobra Cabana,Curry
The Patio Thai,6,62,6.0,Burgers,Cobra Cabana,Curry
Pho Tay Do,28,248,1.0,Burgers,Cobra Cabana,Noodles
Pho Thein Phat / Pho So 1,15,125,3.0,Burgers,Cobra Cabana,Noodles
Pho Luca,12,106,4.0,Burgers,Cobra Cabana,Noodles
My Noodle,11,78,6.0,Burgers,Cobra Cabana,Noodles
Vietnam 1,8,76,7.0,Burgers,Cobra Cabana,Noodles
City Dogs,23,294,1.0,Burgers,Cobra Cabana,Hot Dogs
Black Lodge,13,84,2.0,Burgers,Cobra Cabana,Hot Dogs
Bamboo Cafe,10,43,12.0,Burgers,Cobra Cabana,Hot Dogs
Carytown Burgers and Fries,5,44,11.0,Burgers,Cobra Cabana,Hot Dogs
The Boardwalk,5,58,8.0,Burgers,Cobra Cabana,Hot Dogs
Fat Dragon,16,209,1.0,Burgers,Cobra Cabana,Fried Rice
Peter Chang Richmond,11,128,2.0,Burgers,Cobra Cabana,Fried Rice
Moms Siam,8,50,5.0,Burgers,Cobra Cabana,Fried Rice
KOGI,6,21,12.0,Burgers,Cobra Cabana,Fried Rice
Sabai,6,71,4.0,Burgers,Cobra Cabana,Fried Rice
821 Cafe,12,52,7.0,Burgers,Cobra Cabana,Breakfast
Moore Street Cafe,11,171,1.0,Burgers,Cobra Cabana,Breakfast
SBs Main Street Love Shack,11,107,4.0,Burgers,Cobra Cabana,Breakfast
Joes Inn the Fan,9,128,3.0,Burgers,Cobra Cabana,Breakfast
Perlys,7,161,2.0,Burgers,Cobra Cabana,Breakfast
Cobra Cabana,16,61,6.0,Burgers,Cobra Cabana,Lunch
Garnetts,15,137,1.0,Burgers,Cobra Cabana,Lunch
Kuba Kuba,11,135,2.0,Burgers,Cobra Cabana,Lunch
Union Market,10,135,2.0,Burgers,Cobra Cabana,Lunch
Joes Inn In The Fan,9,123,4.0,Burgers,Cobra Cabana,Lunch
LOpossum,15,130,2.0,Burgers,Cobra Cabana,Date Night
Edos Squid,11,139,1.0,Burgers,Cobra Cabana,Date Night
Alewife,8,75,5.0,Burgers,Cobra Cabana,Date Night
Stellas,8,124,3.0,Burgers,Cobra Cabana,Date Night
Brenner Pass,8,41,10.0,Burgers,Cobra Cabana,Date Night
821 Cafe,14,48,11.0,Burgers,Cobra Cabana,Brunch
Perlys,11,163,1.0,Burgers,Cobra Cabana,Brunch
Helens,9,65,7.0,Burgers,Cobra Cabana,Brunch
Millies Diner,7,83,4.0,Burgers,Cobra Cabana,Brunch
The Liberty Public House,7,55,10.0,Burgers,Cobra Cabana,Brunch
1115 (Eleven Fifteen),14,136,2.0,Burgers,Cobra Cabana,Food Truck
Tiny Vegan,10,53,7.0,Burgers,Cobra Cabana,Food Truck
Smashed RVA,10,190,1.0,Burgers,Cobra Cabana,Food Truck
Goatocado,8,54,6.0,Burgers,Cobra Cabana,Food Truck
Auntie Nings,7,84,5.0,Burgers,Cobra Cabana,Food Truck
Lamplighter Coffee Roasters,11,109,2.0,Burgers,Cobra Cabana,Cafe
Blanchards,11,146,1.0,Burgers,Cobra Cabana,Cafe
Sugar and Twine,10,76,4.0,Burgers,Cobra Cabana,Cafe
Harrison Street Cafe,6,20,21.0,Burgers,Cobra Cabana,Cafe
Roastology,6,50,8.0,Burgers,Cobra Cabana,Cafe
ZZQ,68,598,1.0,Sandwich,Garnetts,BBQ
The Smoky Mug,21,99,3.0,Sandwich,Garnetts,BBQ
Deep Run Roadhouse,11,81,5.0,Sandwich,Garnetts,BBQ
Alamo / Frontier by Alamo,11,88,4.0,Sandwich,Garnetts,BBQ
Buz and Neds Real Barbecue,8,59,7.0,Sandwich,Garnetts,BBQ
Zorch,30,229,1.0,Sandwich,Garnetts,Pizza
Belmont Pizza,29,120,3.0,Sandwich,Garnetts,Pizza
Pizza Bones,17,124,2.0,Sandwich,Garnetts,Pizza
8 ½ in The Fan,16,118,4.0,Sandwich,Garnetts,Pizza
Mary Angelas,12,94,6.0,Sandwich,Garnetts,Pizza
TBT El Gallo,24,166,2.0,Sandwich,Garnetts,Tacos
En Su Boca,20,111,4.0,Sandwich,Garnetts,Tacos
Dont Look Back,19,129,3.0,Sandwich,Garnetts,Tacos
El Chido,16,98,5.0,Sandwich,Garnetts,Tacos
Y Tu Mama,13,84,6.0,Sandwich,Garnetts,Tacos
Cobra Burger,38,317,1.0,Sandwich,Garnetts,Burgers
Beauvine Burger Concept,31,180,2.0,Sandwich,Garnetts,Burgers
Cobra Cabana,20,110,4.0,Sandwich,Garnetts,Burgers
Smashed RVA,16,154,3.0,Sandwich,Garnetts,Burgers
Carytown Burger and Fries,12,60,8.0,Sandwich,Garnetts,Burgers
Lucky AF,35,268,1.0,Sandwich,Garnetts,Sushi
Akida,26,196,2.0,Sandwich,Garnetts,Sushi
Fighting Fish,20,126,3.0,Sandwich,Garnetts,Sushi
Sticky Rice,12,96,4.0,Sandwich,Garnetts,Sushi
LEVEL,9,66,7.0,Sandwich,Garnetts,Sushi
Goatocado,22,182,1.0,Sandwich,Garnetts,Veg
821 Cafe,20,147,2.0,Sandwich,Garnetts,Veg
Harrison Street Cafe,14,64,5.0,Sandwich,Garnetts,Veg
Sen Organic Small Plate,11,51,6.0,Sandwich,Garnetts,Veg
Roots Natural Kitchen,10,119,3.0,Sandwich,Garnetts,Veg
Lemon Cuisine of India,32,183,1.0,Sandwich,Garnetts,Curry
Tulsi Indian Cuisine,20,121,4.0,Sandwich,Garnetts,Curry
Moms Siam,18,114,5.0,Sandwich,Garnetts,Curry
Sabai,14,140,2.0,Sandwich,Garnetts,Curry
Mekong,10,128,3.0,Sandwich,Garnetts,Curry
Pho Tay Do,37,248,1.0,Sandwich,Garnetts,Noodles
Mekong,17,210,2.0,Sandwich,Garnetts,Noodles
Pho Thein Phat / Pho So 1,16,125,3.0,Sandwich,Garnetts,Noodles
My Noodle,15,78,6.0,Sandwich,Garnetts,Noodles
Moms Siam,13,83,5.0,Sandwich,Garnetts,Noodles
City Dogs,34,294,1.0,Sandwich,Garnetts,Hot Dogs
Black Lodge,17,84,2.0,Sandwich,Garnetts,Hot Dogs
Horne Dogs,9,71,5.0,Sandwich,Garnetts,Hot Dogs
Ellies Hot Dogs and Ice Cream,9,69,6.0,Sandwich,Garnetts,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,8,77,4.0,Sandwich,Garnetts,Hot Dogs
Fat Dragon,16,209,1.0,Sandwich,Garnetts,Fried Rice
Peter Chang Richmond,13,128,2.0,Sandwich,Garnetts,Fried Rice
Mekong,9,89,3.0,Sandwich,Garnetts,Fried Rice
Sabai,9,71,4.0,Sandwich,Garnetts,Fried Rice
Moms Siam,7,50,5.0,Sandwich,Garnetts,Fried Rice
Perlys,22,161,2.0,Sandwich,Garnetts,Breakfast
Joes Inn the Fan,21,128,3.0,Sandwich,Garnetts,Breakfast
Moore Street Cafe,17,171,1.0,Sandwich,Garnetts,Breakfast
SBs Main Street Love Shack,12,107,4.0,Sandwich,Garnetts,Breakfast
821 Cafe,11,52,7.0,Sandwich,Garnetts,Breakfast
Garnetts,47,137,1.0,Sandwich,Garnetts,Lunch
Union Market,19,135,2.0,Sandwich,Garnetts,Lunch
Kuba Kuba,19,135,2.0,Sandwich,Garnetts,Lunch
Joes Inn In The Fan,15,123,4.0,Sandwich,Garnetts,Lunch
Roots Natural Kitchen,8,37,14.0,Sandwich,Garnetts,Lunch
Edos Squid,21,139,1.0,Sandwich,Garnetts,Date Night
LOpossum,18,130,2.0,Sandwich,Garnetts,Date Night
Stellas,17,124,3.0,Sandwich,Garnetts,Date Night
The Roosevelt,11,62,6.0,Sandwich,Garnetts,Date Night
Alewife,10,75,5.0,Sandwich,Garnetts,Date Night
Perlys,17,163,1.0,Sandwich,Garnetts,Brunch
SBs Main Street Love Shack,15,107,3.0,Sandwich,Garnetts,Brunch
LUNCH.SUPPER!,13,131,2.0,Sandwich,Garnetts,Brunch
Can Can,11,62,8.0,Sandwich,Garnetts,Brunch
Helens,9,65,7.0,Sandwich,Garnetts,Brunch
Smashed RVA,20,190,1.0,Sandwich,Garnetts,Food Truck
Intergalactic Tacos,15,95,4.0,Sandwich,Garnetts,Food Truck
Tiny Vegan,12,53,7.0,Sandwich,Garnetts,Food Truck
1115 (Eleven Fifteen),11,136,2.0,Sandwich,Garnetts,Food Truck
Sammich,9,44,10.0,Sandwich,Garnetts,Food Truck
Blanchards,27,146,1.0,Sandwich,Garnetts,Cafe
Lamplighter Coffee Roasters,16,109,2.0,Sandwich,Garnetts,Cafe
Stir Crazy Cafe,12,62,6.0,Sandwich,Garnetts,Cafe
Sugar and Twine,11,76,4.0,Sandwich,Garnetts,Cafe
The Smoky Mug,11,75,5.0,Sandwich,Garnetts,Cafe
ZZQ,90,598,1.0,Sandwich,Stanleys,BBQ
The Smoky Mug,8,99,3.0,Sandwich,Stanleys,BBQ
Deep Run Roadhouse,7,81,5.0,Sandwich,Stanleys,BBQ
Get Tight Lounge,6,46,8.0,Sandwich,Stanleys,BBQ
Virginia BBQ,4,23,11.0,Sandwich,Stanleys,BBQ
Zorch,34,229,1.0,Sandwich,Stanleys,Pizza
Pizza Bones,23,124,2.0,Sandwich,Stanleys,Pizza
8 ½ in The Fan,19,118,4.0,Sandwich,Stanleys,Pizza
Secret Squares,10,69,8.0,Sandwich,Stanleys,Pizza
Hot For Pizza,8,95,5.0,Sandwich,Stanleys,Pizza
El Chido,21,98,5.0,Sandwich,Stanleys,Tacos
Y Tu Mama,18,84,6.0,Sandwich,Stanleys,Tacos
TBT El Gallo,14,166,2.0,Sandwich,Stanleys,Tacos
Sincero,11,29,14.0,Sandwich,Stanleys,Tacos
La Milpa,11,62,8.0,Sandwich,Stanleys,Tacos
Cobra Burger,89,317,1.0,Sandwich,Stanleys,Burgers
Eazzy Burger,13,91,6.0,Sandwich,Stanleys,Burgers
Beauvine Burger Concept,11,180,2.0,Sandwich,Stanleys,Burgers
Cobra Cabana,10,110,4.0,Sandwich,Stanleys,Burgers
Smashed RVA,8,154,3.0,Sandwich,Stanleys,Burgers
Akida,39,196,2.0,Sandwich,Stanleys,Sushi
Fighting Fish,18,126,3.0,Sandwich,Stanleys,Sushi
Lucky AF,17,268,1.0,Sandwich,Stanleys,Sushi
Sticky Rice,9,96,4.0,Sandwich,Stanleys,Sushi
Nami Japanese Restaurant,5,29,12.0,Sandwich,Stanleys,Sushi
821 Cafe,16,147,2.0,Sandwich,Stanleys,Veg
Nile Ethiopian,15,93,4.0,Sandwich,Stanleys,Veg
Roots Natural Kitchen,9,119,3.0,Sandwich,Stanleys,Veg
Fresca on Addison,9,49,7.0,Sandwich,Stanleys,Veg
Philly Vegan,9,47,8.0,Sandwich,Stanleys,Veg
Sabai,20,140,2.0,Sandwich,Stanleys,Curry
Mekong,16,128,3.0,Sandwich,Stanleys,Curry
Lemon Cuisine of India,15,183,1.0,Sandwich,Stanleys,Curry
Tulsi Indian Cuisine,14,121,4.0,Sandwich,Stanleys,Curry
Moms Siam,10,114,5.0,Sandwich,Stanleys,Curry
Pho Tay Do,46,248,1.0,Sandwich,Stanleys,Noodles
Mekong,15,210,2.0,Sandwich,Stanleys,Noodles
Pho Thein Phat / Pho So 1,11,125,3.0,Sandwich,Stanleys,Noodles
My Noodle,9,78,6.0,Sandwich,Stanleys,Noodles
Pho Luca,8,106,4.0,Sandwich,Stanleys,Noodles
City Dogs,23,294,1.0,Sandwich,Stanleys,Hot Dogs
Horne Dogs,21,71,5.0,Sandwich,Stanleys,Hot Dogs
Black Lodge,21,84,2.0,Sandwich,Stanleys,Hot Dogs
Melitos,8,57,9.0,Sandwich,Stanleys,Hot Dogs
Joeys Hot Dogs,7,62,7.0,Sandwich,Stanleys,Hot Dogs
Peter Chang Richmond,21,128,2.0,Sandwich,Stanleys,Fried Rice
Sabai,12,71,4.0,Sandwich,Stanleys,Fried Rice
Full Kee,10,44,7.0,Sandwich,Stanleys,Fried Rice
Fat Dragon,9,209,1.0,Sandwich,Stanleys,Fried Rice
Moms Siam,6,50,5.0,Sandwich,Stanleys,Fried Rice
Perlys,26,161,2.0,Sandwich,Stanleys,Breakfast
Moore Street Cafe,23,171,1.0,Sandwich,Stanleys,Breakfast
Joes Inn the Fan,12,128,3.0,Sandwich,Stanleys,Breakfast
Millies Diner,11,77,5.0,Sandwich,Stanleys,Breakfast
Nates Bagels,8,67,6.0,Sandwich,Stanleys,Breakfast
Garnetts,23,137,1.0,Sandwich,Stanleys,Lunch
Kuba Kuba,17,135,2.0,Sandwich,Stanleys,Lunch
Coppolas Deli,13,83,5.0,Sandwich,Stanleys,Lunch
Joes Inn In The Fan,12,123,4.0,Sandwich,Stanleys,Lunch
Union Market,11,135,2.0,Sandwich,Stanleys,Lunch
Edos Squid,16,139,1.0,Sandwich,Stanleys,Date Night
LOpossum,15,130,2.0,Sandwich,Stanleys,Date Night
Alewife,13,75,5.0,Sandwich,Stanleys,Date Night
Stellas,11,124,3.0,Sandwich,Stanleys,Date Night
Lost Letter,10,27,15.0,Sandwich,Stanleys,Date Night
Perlys,23,163,1.0,Sandwich,Stanleys,Brunch
Helens,18,65,7.0,Sandwich,Stanleys,Brunch
Moore Street Cafe,14,83,4.0,Sandwich,Stanleys,Brunch
Millies Diner,12,83,4.0,Sandwich,Stanleys,Brunch
SBs Main Street Love Shack,10,107,3.0,Sandwich,Stanleys,Brunch
Smashed RVA,13,190,1.0,Sandwich,Stanleys,Food Truck
Intergalactic Tacos,11,95,4.0,Sandwich,Stanleys,Food Truck
Auntie Nings,10,84,5.0,Sandwich,Stanleys,Food Truck
Tiny Vegan,7,53,7.0,Sandwich,Stanleys,Food Truck
1115 (Eleven Fifteen),6,136,2.0,Sandwich,Stanleys,Food Truck
Afterglow Coffee Cooperative,20,53,7.0,Sandwich,Stanleys,Cafe
Blanchards,17,146,1.0,Sandwich,Stanleys,Cafe
Sub Rosa,15,97,3.0,Sandwich,Stanleys,Cafe
Lamplighter Coffee Roasters,14,109,2.0,Sandwich,Stanleys,Cafe
Stir Crazy Cafe,6,62,6.0,Sandwich,Stanleys,Cafe
ZZQ,48,598,1.0,Sandwich,Coppolas Deli,BBQ
Alamo / Frontier by Alamo,13,88,4.0,Sandwich,Coppolas Deli,BBQ
The Smoky Mug,9,99,3.0,Sandwich,Coppolas Deli,BBQ
Deep Run Roadhouse,9,81,5.0,Sandwich,Coppolas Deli,BBQ
Buz and Neds Real Barbecue,9,59,7.0,Sandwich,Coppolas Deli,BBQ
Zorch,19,229,1.0,Sandwich,Coppolas Deli,Pizza
8 ½ in The Fan,17,118,4.0,Sandwich,Coppolas Deli,Pizza
Hot For Pizza,13,95,5.0,Sandwich,Coppolas Deli,Pizza
Belmont Pizza,10,120,3.0,Sandwich,Coppolas Deli,Pizza
Mary Angelas,8,94,6.0,Sandwich,Coppolas Deli,Pizza
Dont Look Back,16,129,3.0,Sandwich,Coppolas Deli,Tacos
TBT El Gallo,15,166,2.0,Sandwich,Coppolas Deli,Tacos
El Chido,13,98,5.0,Sandwich,Coppolas Deli,Tacos
Cabo Fish Taco,8,184,1.0,Sandwich,Coppolas Deli,Tacos
En Su Boca,8,111,4.0,Sandwich,Coppolas Deli,Tacos
Cobra Burger,27,317,1.0,Sandwich,Coppolas Deli,Burgers
Beauvine Burger Concept,15,180,2.0,Sandwich,Coppolas Deli,Burgers
Boulevard Burger and Brew,12,110,4.0,Sandwich,Coppolas Deli,Burgers
Carytown Burger and Fries,11,60,8.0,Sandwich,Coppolas Deli,Burgers
Cobra Cabana,8,110,4.0,Sandwich,Coppolas Deli,Burgers
Akida,24,196,2.0,Sandwich,Coppolas Deli,Sushi
Lucky AF,19,268,1.0,Sandwich,Coppolas Deli,Sushi
Sticky Rice,10,96,4.0,Sandwich,Coppolas Deli,Sushi
LEVEL,10,66,7.0,Sandwich,Coppolas Deli,Sushi
Osaka Sushi and Steak,8,69,5.0,Sandwich,Coppolas Deli,Sushi
821 Cafe,16,147,2.0,Sandwich,Coppolas Deli,Veg
Goatocado,13,182,1.0,Sandwich,Coppolas Deli,Veg
Roots Natural Kitchen,11,119,3.0,Sandwich,Coppolas Deli,Veg
Nile Ethiopian,10,93,4.0,Sandwich,Coppolas Deli,Veg
Philly Vegan,6,47,8.0,Sandwich,Coppolas Deli,Veg
Lemon Cuisine of India,18,183,1.0,Sandwich,Coppolas Deli,Curry
Sabai,16,140,2.0,Sandwich,Coppolas Deli,Curry
Tulsi Indian Cuisine,14,121,4.0,Sandwich,Coppolas Deli,Curry
Moms Siam,9,114,5.0,Sandwich,Coppolas Deli,Curry
Mekong,9,128,3.0,Sandwich,Coppolas Deli,Curry
Mekong,25,210,2.0,Sandwich,Coppolas Deli,Noodles
Pho Tay Do,20,248,1.0,Sandwich,Coppolas Deli,Noodles
Vietnam 1,14,76,7.0,Sandwich,Coppolas Deli,Noodles
Pho Luca,12,106,4.0,Sandwich,Coppolas Deli,Noodles
Pho Thein Phat / Pho So 1,8,125,3.0,Sandwich,Coppolas Deli,Noodles
City Dogs,32,294,1.0,Sandwich,Coppolas Deli,Hot Dogs
Ellies Hot Dogs and Ice Cream,8,69,6.0,Sandwich,Coppolas Deli,Hot Dogs
Boulevard Burger and Brew,7,79,3.0,Sandwich,Coppolas Deli,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,6,77,4.0,Sandwich,Coppolas Deli,Hot Dogs
The Boardwalk,6,58,8.0,Sandwich,Coppolas Deli,Hot Dogs
Fat Dragon,25,209,1.0,Sandwich,Coppolas Deli,Fried Rice
Peter Chang Richmond,18,128,2.0,Sandwich,Coppolas Deli,Fried Rice
Mekong,6,89,3.0,Sandwich,Coppolas Deli,Fried Rice
Lucky AF,4,49,6.0,Sandwich,Coppolas Deli,Fried Rice
Sabai,4,71,4.0,Sandwich,Coppolas Deli,Fried Rice
Joes Inn the Fan,20,128,3.0,Sandwich,Coppolas Deli,Breakfast
Moore Street Cafe,17,171,1.0,Sandwich,Coppolas Deli,Breakfast
Perlys,15,161,2.0,Sandwich,Coppolas Deli,Breakfast
SBs Main Street Love Shack,9,107,4.0,Sandwich,Coppolas Deli,Breakfast
Nates Bagels,7,67,6.0,Sandwich,Coppolas Deli,Breakfast
Coppolas Deli,30,83,5.0,Sandwich,Coppolas Deli,Lunch
Joes Inn In The Fan,16,123,4.0,Sandwich,Coppolas Deli,Lunch
Garnetts,11,137,1.0,Sandwich,Coppolas Deli,Lunch
Kuba Kuba,11,135,2.0,Sandwich,Coppolas Deli,Lunch
Union Market,9,135,2.0,Sandwich,Coppolas Deli,Lunch
LOpossum,18,130,2.0,Sandwich,Coppolas Deli,Date Night
Stellas,16,124,3.0,Sandwich,Coppolas Deli,Date Night
Edos Squid,14,139,1.0,Sandwich,Coppolas Deli,Date Night
Grisette,9,80,4.0,Sandwich,Coppolas Deli,Date Night
Bacchus,6,35,12.0,Sandwich,Coppolas Deli,Date Night
Perlys,16,163,1.0,Sandwich,Coppolas Deli,Brunch
LUNCH.SUPPER!,12,131,2.0,Sandwich,Coppolas Deli,Brunch
Moore Street Cafe,10,83,4.0,Sandwich,Coppolas Deli,Brunch
SBs Main Street Love Shack,9,107,3.0,Sandwich,Coppolas Deli,Brunch
Joes Inn the Fan,8,71,6.0,Sandwich,Coppolas Deli,Brunch
River City Wood Fire,12,133,3.0,Sandwich,Coppolas Deli,Food Truck
Auntie Nings,10,84,5.0,Sandwich,Coppolas Deli,Food Truck
Happy Arepas,8,46,9.0,Sandwich,Coppolas Deli,Food Truck
Sammich,8,44,10.0,Sandwich,Coppolas Deli,Food Truck
1115 (Eleven Fifteen),7,136,2.0,Sandwich,Coppolas Deli,Food Truck
Lamplighter Coffee Roasters,15,109,2.0,Sandwich,Coppolas Deli,Cafe
Blanchards,13,146,1.0,Sandwich,Coppolas Deli,Cafe
Sub Rosa,9,97,3.0,Sandwich,Coppolas Deli,Cafe
Sugar and Twine,8,76,4.0,Sandwich,Coppolas Deli,Cafe
Roastology,7,50,8.0,Sandwich,Coppolas Deli,Cafe
ZZQ,58,598,1.0,Sandwich,Chioccas,BBQ
Alamo / Frontier by Alamo,12,88,4.0,Sandwich,Chioccas,BBQ
Deep Run Roadhouse,10,81,5.0,Sandwich,Chioccas,BBQ
Buz and Neds Real Barbecue,8,59,7.0,Sandwich,Chioccas,BBQ
The Smoky Mug,7,99,3.0,Sandwich,Chioccas,BBQ
Mary Angelas,17,94,6.0,Sandwich,Chioccas,Pizza
Belmont Pizza,17,120,3.0,Sandwich,Chioccas,Pizza
Zorch,15,229,1.0,Sandwich,Chioccas,Pizza
8 ½ in The Fan,13,118,4.0,Sandwich,Chioccas,Pizza
Hot For Pizza,10,95,5.0,Sandwich,Chioccas,Pizza
TBT El Gallo,17,166,2.0,Sandwich,Chioccas,Tacos
Cabo Fish Taco,14,184,1.0,Sandwich,Chioccas,Tacos
Dont Look Back,13,129,3.0,Sandwich,Chioccas,Tacos
En Su Boca,11,111,4.0,Sandwich,Chioccas,Tacos
El Chido,10,98,5.0,Sandwich,Chioccas,Tacos
Cobra Burger,21,317,1.0,Sandwich,Chioccas,Burgers
Beauvine Burger Concept,17,180,2.0,Sandwich,Chioccas,Burgers
Cobra Cabana,15,110,4.0,Sandwich,Chioccas,Burgers
Eazzy Burger,14,91,6.0,Sandwich,Chioccas,Burgers
Burger Bach,9,68,7.0,Sandwich,Chioccas,Burgers
Lucky AF,30,268,1.0,Sandwich,Chioccas,Sushi
Akida,27,196,2.0,Sandwich,Chioccas,Sushi
Fighting Fish,11,126,3.0,Sandwich,Chioccas,Sushi
Carytown Sushi,7,37,11.0,Sandwich,Chioccas,Sushi
Red Salt Chophouse and Sushi,7,45,9.0,Sandwich,Chioccas,Sushi
Goatocado,23,182,1.0,Sandwich,Chioccas,Veg
821 Cafe,19,147,2.0,Sandwich,Chioccas,Veg
Roots Natural Kitchen,10,119,3.0,Sandwich,Chioccas,Veg
Nile Ethiopian,9,93,4.0,Sandwich,Chioccas,Veg
Sen Organic Small Plate,6,51,6.0,Sandwich,Chioccas,Veg
Sabai,18,140,2.0,Sandwich,Chioccas,Curry
Lemon Cuisine of India,16,183,1.0,Sandwich,Chioccas,Curry
